n,m,p,probability
12,14,0.0043,0.44
18,7,0.0043,0.54
18,8,0.0043,0.72
18,14,0.0043,0.46
5,7,0.0046,0.06
5,8,0.0046,0.8
5,14,0.0046,0.78
12,7,0.0046,0.62
12,8,0.0046,0.62
12,14,0.0046,0.56
18,7,0.0046,0.56
18,8,0.0046,0.44
18,14,0.0046,0.5
5,7,0.0049,0.0
5,8,0.0049,0.8
5,14,0.0049,0.8
12,7,0.0049,0.76
12,8,0.0049,0.7
12,14,0.0049,0.52
18,7,0.0049,0.48
18,8,0.0049,0.54
18,14,0.0049,0.4
5,7,0.0052,0.1
5,8,0.0052,0.84
5,14,0.0052,0.66
12,7,0.0052,0.64
12,8,0.0052,0.66
12,14,0.0052,0.58
18,7,0.0052,0.52
18,8,0.0052,0.42
18,14,0.0052,0.44
5,7,0.0055,0.08
5,8,0.0055,0.8
5,14,0.0055,0.86
12,7,0.0055,0.7
12,8,0.0055,0.64
12,14,0.0055,0.4
18,7,0.0055,0.46
18,8,0.0055,0.48
18,14,0.0055,0.38
5,7,0.0058,0.08
5,8,0.0058,0.78
5,14,0.0058,0.7
12,7,0.0058,0.62
12,8,0.0058,0.52
12,14,0.0058,0.52
18,7,0.0058,0.46
18,8,0.0058,0.64
18,14,0.0058,0.32
5,7,0.0061,0.1
5,8,0.0061,0.78
5,14,0.0061,0.74
12,7,0.0061,0.7
12,8,0.0061,0.6
12,14,0.0061,0.46
18,7,0.0061,0.62
18,8,0.0061,0.46
18,14,0.0061,0.28
5,7,0.0064,0.1
5,8,0.0064,0.8
5,14,0.0064,0.68
12,7,0.0064,0.58
12,8,0.0064,0.6
12,14,0.0064,0.48
18,7,0.0064,0.58
18,8,0.0064,0.58
18,14,0.0064,0.24
5,7,0.0067,0.16
5,8,0.0067,0.76
5,14,0.0067,0.64
12,7,0.0067,0.68
12,8,0.0067,0.58
12,14,0.0067,0.5
18,7,0.0067,0.52
18,8,0.0067,0.36
18,14,0.0067,0.32
5,7,0.007,0.12
5,8,0.007,0.82
5,14,0.007,0.74
12,7,0.007,0.66
12,8,0.007,0.6
12,14,0.007,0.36
18,7,0.007,0.38
18,8,0.007,0.42
18,14,0.007,0.3
5,7,0.0073,0.02
5,8,0.0073,0.64
5,14,0.0073,0.58
12,7,0.0073,0.64
12,8,0.0073,0.58
12,14,0.0073,0.52
18,7,0.0073,0.48
18,8,0.0073,0.44
18,14,0.0073,0.36
5,7,0.0076,0.18
5,8,0.0076,0.78
5,14,0.0076,0.66
12,7,0.0076,0.54
12,8,0.0076,0.6
12,14,0.0076,0.26
18,7,0.0076,0.4
18,8,0.0076,0.36
18,14,0.0076,0.3
5,7,0.0079,0.1
5,8,0.0079,0.82
5,14,0.0079,0.64
12,7,0.0079,0.66
12,8,0.0079,0.58
12,14,0.0079,0.34
18,7,0.0079,0.36
18,8,0.0079,0.42
18,14,0.0079,0.16
5,7,0.0082,0.1
5,8,0.0082,0.76
5,14,0.0082,0.72
12,7,0.0082,0.5
12,8,0.0082,0.46
12,14,0.0082,0.28
18,7,0.0082,0.5
18,8,0.0082,0.42
18,14,0.0082,0.24
5,7,0.0085,0.16
5,8,0.0085,0.68
5,14,0.0085,0.68
12,7,0.0085,0.54
12,8,0.0085,0.5
12,14,0.0085,0.28
18,7,0.0085,0.48
18,8,0.0085,0.5
18,14,0.0085,0.34
5,7,0.0088,0.04
5,8,0.0088,0.7
5,14,0.0088,0.54
12,7,0.0088,0.46
12,8,0.0088,0.54
12,14,0.0088,0.4
18,7,0.0088,0.44
18,8,0.0088,0.36
18,14,0.0088,0.3
5,7,0.0091,0.12
5,8,0.0091,0.68
5,14,0.0091,0.58
12,7,0.0091,0.5
12,8,0.0091,0.72
12,14,0.0091,0.54
18,7,0.0091,0.28
18,8,0.0091,0.34
18,14,0.0091,0.26
5,7,0.0094,0.06
5,8,0.0094,0.7
5,14,0.0094,0.68
12,7,0.0094,0.4
12,8,0.0094,0.3
12,14,0.0094,0.38
18,7,0.0094,0.38
18,8,0.0094,0.38
18,14,0.0094,0.34
5,7,0.0097,0.12
5,8,0.0097,0.5
5,14,0.0097,0.64
12,7,0.0097,0.52
12,8,0.0097,0.52
12,14,0.0097,0.28
18,7,0.0097,0.48
18,8,0.0097,0.4
18,14,0.0097,0.36
5,7,0.01,0.14
5,8,0.01,0.68
5,14,0.01,0.62
12,7,0.01,0.44
12,8,0.01,0.46
12,14,0.01,0.46
18,7,0.01,0.36
18,8,0.01,0.34
18,14,0.01,0.32
5,7,0.0107,0.2
5,8,0.0107,0.72
5,14,0.0107,0.64
12,7,0.0107,0.5
12,8,0.0107,0.44
12,14,0.0107,0.28
18,7,0.0107,0.36
18,8,0.0107,0.34
18,14,0.0107,0.3
5,7,0.0114,0.14
5,8,0.0114,0.62
5,14,0.0114,0.62
12,7,0.0114,0.5
12,8,0.0114,0.36
12,14,0.0114,0.32
18,7,0.0114,0.52
18,8,0.0114,0.18
18,14,0.0114,0.34
5,7,0.0121,0.24
5,8,0.0121,0.66
5,14,0.0121,0.48
12,7,0.0121,0.56
12,8,0.0121,0.32
12,14,0.0121,0.3
18,7,0.0121,0.28
18,8,0.0121,0.34
18,14,0.0121,0.18
5,7,0.0128,0.12
5,8,0.0128,0.64
5,14,0.0128,0.6
12,7,0.0128,0.38
12,8,0.0128,0.44
12,14,0.0128,0.24
18,7,0.0128,0.4
18,8,0.0128,0.36
18,14,0.0128,0.26
5,7,0.0135,0.16
5,8,0.0135,0.58
5,14,0.0135,0.46
12,7,0.0135,0.4
12,8,0.0135,0.42
12,14,0.0135,0.32
18,7,0.0135,0.3
18,8,0.0135,0.22
18,14,0.0135,0.16
5,7,0.0142,0.24
5,8,0.0142,0.56
5,14,0.0142,0.4
12,7,0.0142,0.42
12,8,0.0142,0.44
12,14,0.0142,0.28
18,7,0.0142,0.18
18,8,0.0142,0.38
18,14,0.0142,0.26
5,7,0.0149,0.18
5,8,0.0149,0.54
5,14,0.0149,0.52
12,7,0.0149,0.36
12,8,0.0149,0.34
12,14,0.0149,0.2
18,7,0.0149,0.32
18,8,0.0149,0.34
18,14,0.0149,0.26
5,7,0.0156,0.24
5,8,0.0156,0.64
5,14,0.0156,0.5
12,7,0.0156,0.46
12,8,0.0156,0.46
12,14,0.0156,0.2
18,7,0.0156,0.32
18,8,0.0156,0.16
18,14,0.0156,0.16
5,7,0.0163,0.18
5,8,0.0163,0.6
5,14,0.0163,0.4
12,7,0.0163,0.28
12,8,0.0163,0.28
12,14,0.0163,0.32
18,7,0.0163,0.24
18,8,0.0163,0.2
18,14,0.0163,0.16
5,7,0.017,0.28
5,8,0.017,0.54
5,14,0.017,0.38
12,7,0.017,0.46
12,8,0.017,0.4
12,14,0.017,0.24
18,7,0.017,0.36
18,8,0.017,0.38
18,14,0.017,0.22
5,7,0.0177,0.2
5,8,0.0177,0.64
5,14,0.0177,0.5
12,7,0.0177,0.24
12,8,0.0177,0.28
12,14,0.0177,0.24
18,7,0.0177,0.28
18,8,0.0177,0.26
18,14,0.0177,0.26
5,7,0.0184,0.32
5,8,0.0184,0.52
5,14,0.0184,0.24
12,7,0.0184,0.42
12,8,0.0184,0.42
12,14,0.0184,0.36
18,7,0.0184,0.34
18,8,0.0184,0.24
18,14,0.0184,0.1
5,7,0.0191,0.2
5,8,0.0191,0.48
5,14,0.0191,0.38
12,7,0.0191,0.24
12,8,0.0191,0.38
12,14,0.0191,0.22
18,7,0.0191,0.44
18,8,0.0191,0.24
18,14,0.0191,0.18
5,7,0.0198,0.2
5,8,0.0198,0.38
5,14,0.0198,0.34
12,7,0.0198,0.36
12,8,0.0198,0.3
12,14,0.0198,0.1
18,7,0.0198,0.34
18,8,0.0198,0.2
18,14,0.0198,0.12
5,7,0.0205,0.38
5,8,0.0205,0.54
5,14,0.0205,0.46
12,7,0.0205,0.36
12,8,0.0205,0.32
12,14,0.0205,0.14
18,7,0.0205,0.32
18,8,0.0205,0.26
18,14,0.0205,0.14
5,7,0.0212,0.16
5,8,0.0212,0.48
5,14,0.0212,0.44
12,7,0.0212,0.24
12,8,0.0212,0.26
12,14,0.0212,0.4
18,7,0.0212,0.18
18,8,0.0212,0.18
18,14,0.0212,0.18
5,7,0.0219,0.2
5,8,0.0219,0.56
5,14,0.0219,0.48
12,7,0.0219,0.42
12,8,0.0219,0.3
12,14,0.0219,0.26
18,7,0.0219,0.32
18,8,0.0219,0.24
18,14,0.0219,0.16
5,7,0.0226,0.18
5,8,0.0226,0.48
5,14,0.0226,0.5
12,7,0.0226,0.28
12,8,0.0226,0.3
12,14,0.0226,0.32
18,7,0.0226,0.3
18,8,0.0226,0.2
18,14,0.0226,0.12
5,7,0.0233,0.22
5,8,0.0233,0.52
5,14,0.0233,0.38
12,7,0.0233,0.32
12,8,0.0233,0.18
12,14,0.0233,0.14
18,7,0.0233,0.22
18,8,0.0233,0.22
18,14,0.0233,0.16
5,7,0.024,0.24
5,8,0.024,0.4
5,14,0.024,0.38
12,7,0.024,0.22
12,8,0.024,0.32
12,14,0.024,0.18
18,7,0.024,0.2
18,8,0.024,0.28
18,14,0.024,0.16
5,7,0.0247,0.2
5,8,0.0247,0.34
5,14,0.0247,0.34
12,7,0.0247,0.28
12,8,0.0247,0.28
12,14,0.0247,0.26
18,7,0.0247,0.24
18,8,0.0247,0.2
18,14,0.0247,0.1
5,7,0.025,0.14
5,8,0.025,0.56
5,14,0.025,0.34
12,7,0.025,0.28
12,8,0.025,0.28
12,14,0.025,0.22
18,7,0.025,0.34
18,8,0.025,0.18
18,14,0.025,0.14
5,7,0.036,0.26
5,8,0.036,0.42
5,14,0.036,0.34
12,7,0.036,0.34
12,8,0.036,0.28
12,14,0.036,0.18
18,7,0.036,0.18
18,8,0.036,0.28
18,14,0.036,0.16
5,7,0.047,0.32
5,8,0.047,0.28
5,14,0.047,0.3
12,7,0.047,0.14
12,8,0.047,0.16
12,14,0.047,0.18
18,7,0.047,0.18
18,8,0.047,0.16
18,14,0.047,0.14
5,7,0.058,0.16
5,8,0.058,0.34
5,14,0.058,0.3
12,7,0.058,0.1
12,8,0.058,0.28
12,14,0.058,0.14
18,7,0.058,0.28
18,8,0.058,0.16
18,14,0.058,0.22
5,7,0.069,0.2
5,8,0.069,0.22
5,14,0.069,0.22
12,7,0.069,0.22
12,8,0.069,0.2
12,14,0.069,0.02
18,7,0.069,0.16
18,8,0.069,0.1
18,14,0.069,0.08
5,7,0.08,0.22
5,8,0.08,0.16
5,14,0.08,0.08
12,7,0.08,0.18
12,8,0.08,0.2
12,14,0.08,0.18
18,7,0.08,0.18
18,8,0.08,0.08
18,14,0.08,0.06
5,7,0.091,0.2
5,8,0.091,0.18
5,14,0.091,0.08
12,7,0.091,0.22
12,8,0.091,0.18
12,14,0.091,0.1
18,7,0.091,0.1
18,8,0.091,0.12
18,14,0.091,0.04
5,7,0.102,0.1
5,8,0.102,0.16
5,14,0.102,0.12
12,7,0.102,0.2
12,8,0.102,0.12
12,14,0.102,0.14
18,7,0.102,0.2
18,8,0.102,0.06
18,14,0.102,0.04
5,7,0.113,0.24
5,8,0.113,0.34
5,14,0.113,0.12
12,7,0.113,0.12
12,8,0.113,0.12
12,14,0.113,0.0
18,7,0.113,0.08
18,8,0.113,0.08
18,14,0.113,0.06
5,7,0.124,0.16
5,8,0.124,0.16
5,14,0.124,0.06
12,7,0.124,0.14
12,8,0.124,0.08
12,14,0.124,0.06
18,7,0.124,0.04
18,8,0.124,0.04
18,14,0.124,0.04
5,7,0.135,0.2
5,8,0.135,0.18
5,14,0.135,0.06
12,7,0.135,0.14
12,8,0.135,0.12
12,14,0.135,0.0
18,7,0.135,0.02
18,8,0.135,0.08
18,14,0.135,0.0
5,7,0.146,0.14
5,8,0.146,0.28
5,14,0.146,0.14
12,7,0.146,0.08
12,8,0.146,0.08
12,14,0.146,0.04
18,7,0.146,0.06
18,8,0.146,0.04
18,14,0.146,0.04
5,7,0.157,0.22
5,8,0.157,0.18
5,14,0.157,0.14
12,7,0.157,0.1
12,8,0.157,0.06
12,14,0.157,0.04
18,7,0.157,0.06
18,8,0.157,0.02
18,14,0.157,0.04
5,7,0.168,0.16
5,8,0.168,0.16
5,14,0.168,0.12
12,7,0.168,0.06
12,8,0.168,0.06
12,14,0.168,0.04
18,7,0.168,0.02
18,8,0.168,0.0
18,14,0.168,0.08
5,7,0.179,0.18
5,8,0.179,0.04
5,14,0.179,0.02
12,7,0.179,0.14
12,8,0.179,0.04
12,14,0.179,0.02
18,7,0.179,0.0
18,8,0.179,0.02
18,14,0.179,0.04
5,7,0.19,0.08
5,8,0.19,0.1
5,14,0.19,0.02
12,7,0.19,0.06
12,8,0.19,0.06
12,14,0.19,0.02
18,7,0.19,0.0
18,8,0.19,0.02
18,14,0.19,0.0
5,7,0.201,0.24
5,8,0.201,0.1
5,14,0.201,0.0
12,7,0.201,0.02
12,8,0.201,0.1
12,14,0.201,0.0
18,7,0.201,0.02
18,8,0.201,0.0
18,14,0.201,0.0
5,7,0.212,0.1
5,8,0.212,0.06
5,14,0.212,0.02
12,7,0.212,0.06
12,8,0.212,0.02
12,14,0.212,0.0
18,7,0.212,0.02
18,8,0.212,0.02
18,14,0.212,0.0
5,7,0.223,0.1
5,8,0.223,0.08
5,14,0.223,0.02
12,7,0.223,0.0
12,8,0.223,0.02
12,14,0.223,0.0
18,7,0.223,0.0
18,8,0.223,0.0
18,14,0.223,0.0
5,7,0.234,0.14
5,8,0.234,0.06
5,14,0.234,0.04
12,7,0.234,0.02
12,8,0.234,0.02
12,14,0.234,0.0
18,7,0.234,0.0
18,8,0.234,0.0
18,14,0.234,0.0
5,7,0.245,0.08
5,8,0.245,0.12
5,14,0.245,0.04
12,7,0.245,0.0
12,8,0.245,0.02
12,14,0.245,0.0
18,7,0.245,0.04
18,8,0.245,0.0
18,14,0.245,0.0
5,7,0.256,0.08
5,8,0.256,0.1
5,14,0.256,0.04
12,7,0.256,0.02
12,8,0.256,0.0
12,14,0.256,0.0
18,7,0.256,0.02
18,8,0.256,0.02
18,14,0.256,0.0
5,7,0.267,0.06
5,8,0.267,0.0
5,14,0.267,0.02
12,7,0.267,0.02
12,8,0.267,0.06
12,14,0.267,0.0
18,7,0.267,0.0
18,8,0.267,0.0
18,14,0.267,0.0
5,7,0.278,0.04
5,8,0.278,0.1
5,14,0.278,0.04
12,7,0.278,0.02
12,8,0.278,0.02
12,14,0.278,0.0
18,7,0.278,0.0
18,8,0.278,0.0
18,14,0.278,0.0
5,7,0.289,0.08
5,8,0.289,0.02
5,14,0.289,0.04
12,7,0.289,0.02
12,8,0.289,0.02
12,14,0.289,0.0
18,7,0.289,0.0
18,8,0.289,0.0
18,14,0.289,0.0
5,7,0.3,0.02
5,8,0.3,0.04
5,14,0.3,0.02
12,7,0.3,0.0
12,8,0.3,0.0
12,14,0.3,0.0
18,7,0.3,0.0
18,8,0.3,0.0
18,14,0.3,0.0
5,7,0.311,0.12
5,8,0.311,0.0
5,14,0.311,0.0
12,7,0.311,0.0
12,8,0.311,0.0
12,14,0.311,0.0
18,7,0.311,0.0
18,8,0.311,0.0
18,14,0.311,0.0
5,7,0.322,0.02
5,8,0.322,0.08
5,14,0.322,0.02
12,7,0.322,0.0
12,8,0.322,0.02
12,14,0.322,0.0
18,7,0.322,0.0
18,8,0.322,0.0
18,14,0.322,0.0
5,7,0.333,0.0
5,8,0.333,0.04
5,14,0.333,0.0
12,7,0.333,0.0
12,8,0.333,0.04
12,14,0.333,0.0
18,7,0.333,0.0
18,8,0.333,0.0
18,14,0.333,0.0
5,7,0.344,0.02
5,8,0.344,0.0
5,14,0.344,0.0
12,7,0.344,0.0
12,8,0.344,0.0
12,14,0.344,0.0
18,7,0.344,0.0
18,8,0.344,0.0
18,14,0.344,0.0
5,7,0.355,0.06
5,8,0.355,0.02
5,14,0.355,0.0
12,7,0.355,0.0
12,8,0.355,0.0
12,14,0.355,0.0
18,7,0.355,0.0
18,8,0.355,0.0
18,14,0.355,0.0
5,7,0.366,0.06
5,8,0.366,0.02
5,14,0.366,0.0
12,7,0.366,0.0
12,8,0.366,0.0
12,14,0.366,0.0
18,7,0.366,0.0
18,8,0.366,0.0
18,14,0.366,0.0
5,7,0.377,0.04
5,8,0.377,0.0
5,14,0.377,0.0
12,7,0.377,0.0
12,8,0.377,0.0
12,14,0.377,0.0
18,7,0.377,0.0
18,8,0.377,0.0
18,14,0.377,0.0
5,7,0.388,0.02
5,8,0.388,0.0
5,14,0.388,0.0
12,7,0.388,0.02
12,8,0.388,0.0
12,14,0.388,0.0
18,7,0.388,0.0
18,8,0.388,0.0
18,14,0.388,0.0
5,7,0.399,0.02
5,8,0.399,0.0
5,14,0.399,0.0
12,7,0.399,0.0
12,8,0.399,0.0
12,14,0.399,0.0
18,7,0.399,0.0
18,8,0.399,0.0
18,14,0.399,0.0
5,7,0.41,0.02
5,8,0.41,0.0
5,14,0.41,0.0
12,7,0.41,0.0
12,8,0.41,0.0
12,14,0.41,0.0
18,7,0.41,0.0
18,8,0.41,0.0
18,14,0.41,0.0
5,7,0.421,0.0
5,8,0.421,0.0
5,14,0.421,0.0
12,7,0.421,0.0
12,8,0.421,0.0
12,14,0.421,0.0
18,7,0.421,0.0
18,8,0.421,0.0
18,14,0.421,0.0
5,7,0.432,0.02
5,8,0.432,0.02
5,14,0.432,0.0
12,7,0.432,0.0
12,8,0.432,0.0
12,14,0.432,0.0
18,7,0.432,0.0
18,8,0.432,0.0
18,14,0.432,0.0
5,7,0.443,0.0
5,8,0.443,0.04
5,14,0.443,0.0
12,7,0.443,0.0
12,8,0.443,0.0
12,14,0.443,0.0
18,7,0.443,0.0
18,8,0.443,0.0
18,14,0.443,0.0
5,7,0.454,0.0
5,8,0.454,0.0
5,14,0.454,0.02
12,7,0.454,0.0
12,8,0.454,0.0
12,14,0.454,0.0
18,7,0.454,0.0
18,8,0.454,0.0
18,14,0.454,0.0
5,7,0.465,0.02
5,8,0.465,0.0
5,14,0.465,0.0
12,7,0.465,0.0
12,8,0.465,0.0
12,14,0.465,0.0
18,7,0.465,0.0
18,8,0.465,0.0
18,14,0.465,0.0
5,7,0.476,0.02
5,8,0.476,0.0
5,14,0.476,0.0
12,7,0.476,0.0
12,8,0.476,0.0
12,14,0.476,0.0
18,7,0.476,0.0
18,8,0.476,0.0
18,14,0.476,0.0
5,7,0.487,0.0
5,8,0.487,0.0
5,14,0.487,0.0
12,7,0.487,0.0
12,8,0.487,0.0
12,14,0.487,0.0
18,7,0.487,0.0
18,8,0.487,0.0
18,14,0.487,0.0
5,7,0.498,0.02
5,8,0.498,0.02
5,14,0.498,0.0
12,7,0.498,0.0
12,8,0.498,0.0
12,14,0.498,0.0
18,7,0.498,0.0
18,8,0.498,0.0
18,14,0.498,0.0
