n,m,p,probability
12,14,0.157,0.56
18,7,0.157,0.4
18,8,0.157,0.42
18,14,0.157,0.38
5,7,0.168,0.52
5,8,0.168,0.5
5,14,0.168,0.36
12,7,0.168,0.26
12,8,0.168,0.58
12,14,0.168,0.32
18,7,0.168,0.3
18,8,0.168,0.44
18,14,0.168,0.34
5,7,0.179,0.42
5,8,0.179,0.5
5,14,0.179,0.32
12,7,0.179,0.32
12,8,0.179,0.5
12,14,0.179,0.42
18,7,0.179,0.22
18,8,0.179,0.5
18,14,0.179,0.26
5,7,0.19,0.54
5,8,0.19,0.48
5,14,0.19,0.48
12,7,0.19,0.32
12,8,0.19,0.5
12,14,0.19,0.26
18,7,0.19,0.28
18,8,0.19,0.36
18,14,0.19,0.18
5,7,0.201,0.34
5,8,0.201,0.38
5,14,0.201,0.42
12,7,0.201,0.46
12,8,0.201,0.38
12,14,0.201,0.18
18,7,0.201,0.36
18,8,0.201,0.3
18,14,0.201,0.14
5,7,0.212,0.42
5,8,0.212,0.46
5,14,0.212,0.42
12,7,0.212,0.4
12,8,0.212,0.4
12,14,0.212,0.26
18,7,0.212,0.38
18,8,0.212,0.4
18,14,0.212,0.24
5,7,0.223,0.54
5,8,0.223,0.46
5,14,0.223,0.3
12,7,0.223,0.4
12,8,0.223,0.42
12,14,0.223,0.2
18,7,0.223,0.26
18,8,0.223,0.22
18,14,0.223,0.14
5,7,0.234,0.44
5,8,0.234,0.5
5,14,0.234,0.34
12,7,0.234,0.36
12,8,0.234,0.3
12,14,0.234,0.14
18,7,0.234,0.34
18,8,0.234,0.34
18,14,0.234,0.24
5,7,0.245,0.48
5,8,0.245,0.46
5,14,0.245,0.32
12,7,0.245,0.3
12,8,0.245,0.32
12,14,0.245,0.2
18,7,0.245,0.24
18,8,0.245,0.3
18,14,0.245,0.18
5,7,0.256,0.36
5,8,0.256,0.42
5,14,0.256,0.32
12,7,0.256,0.36
12,8,0.256,0.56
12,14,0.256,0.28
18,7,0.256,0.2
18,8,0.256,0.14
18,14,0.256,0.18
5,7,0.267,0.4
5,8,0.267,0.36
5,14,0.267,0.36
12,7,0.267,0.34
12,8,0.267,0.28
12,14,0.267,0.18
18,7,0.267,0.34
18,8,0.267,0.26
18,14,0.267,0.16
5,7,0.278,0.44
5,8,0.278,0.46
5,14,0.278,0.28
12,7,0.278,0.34
12,8,0.278,0.26
12,14,0.278,0.12
18,7,0.278,0.24
18,8,0.278,0.22
18,14,0.278,0.16
5,7,0.289,0.28
5,8,0.289,0.24
5,14,0.289,0.28
12,7,0.289,0.26
12,8,0.289,0.3
12,14,0.289,0.18
18,7,0.289,0.28
18,8,0.289,0.22
18,14,0.289,0.1
5,7,0.3,0.46
5,8,0.3,0.28
5,14,0.3,0.22
12,7,0.3,0.3
12,8,0.3,0.3
12,14,0.3,0.1
18,7,0.3,0.28
18,8,0.3,0.16
18,14,0.3,0.04
5,7,0.311,0.5
5,8,0.311,0.42
5,14,0.311,0.36
12,7,0.311,0.38
12,8,0.311,0.32
12,14,0.311,0.22
18,7,0.311,0.2
18,8,0.311,0.2
18,14,0.311,0.08
5,7,0.322,0.34
5,8,0.322,0.44
5,14,0.322,0.22
12,7,0.322,0.26
12,8,0.322,0.26
12,14,0.322,0.12
18,7,0.322,0.26
18,8,0.322,0.14
18,14,0.322,0.08
5,7,0.333,0.46
5,8,0.333,0.42
5,14,0.333,0.3
12,7,0.333,0.3
12,8,0.333,0.36
12,14,0.333,0.16
18,7,0.333,0.18
18,8,0.333,0.12
18,14,0.333,0.1
5,7,0.344,0.32
5,8,0.344,0.42
5,14,0.344,0.28
12,7,0.344,0.16
12,8,0.344,0.26
12,14,0.344,0.22
18,7,0.344,0.2
18,8,0.344,0.26
18,14,0.344,0.1
5,7,0.355,0.46
5,8,0.355,0.28
5,14,0.355,0.38
12,7,0.355,0.22
12,8,0.355,0.2
12,14,0.355,0.1
18,7,0.355,0.28
18,8,0.355,0.2
18,14,0.355,0.12
5,7,0.366,0.36
5,8,0.366,0.32
5,14,0.366,0.34
12,7,0.366,0.24
12,8,0.366,0.16
12,14,0.366,0.16
18,7,0.366,0.16
18,8,0.366,0.2
18,14,0.366,0.12
5,7,0.377,0.4
5,8,0.377,0.34
5,14,0.377,0.28
12,7,0.377,0.18
12,8,0.377,0.22
12,14,0.377,0.1
18,7,0.377,0.3
18,8,0.377,0.18
18,14,0.377,0.08
5,7,0.388,0.46
5,8,0.388,0.28
5,14,0.388,0.34
12,7,0.388,0.26
12,8,0.388,0.16
12,14,0.388,0.12
18,7,0.388,0.26
18,8,0.388,0.06
18,14,0.388,0.04
5,7,0.399,0.4
5,8,0.399,0.44
5,14,0.399,0.34
12,7,0.399,0.22
12,8,0.399,0.24
12,14,0.399,0.08
18,7,0.399,0.1
18,8,0.399,0.28
18,14,0.399,0.14
5,7,0.41,0.36
5,8,0.41,0.38
5,14,0.41,0.28
12,7,0.41,0.26
12,8,0.41,0.18
12,14,0.41,0.12
18,7,0.41,0.16
18,8,0.41,0.1
18,14,0.41,0.08
5,7,0.421,0.56
5,8,0.421,0.5
5,14,0.421,0.28
12,7,0.421,0.26
12,8,0.421,0.2
12,14,0.421,0.02
18,7,0.421,0.12
18,8,0.421,0.16
18,14,0.421,0.04
5,7,0.432,0.32
5,8,0.432,0.38
5,14,0.432,0.36
12,7,0.432,0.16
12,8,0.432,0.16
12,14,0.432,0.08
18,7,0.432,0.22
18,8,0.432,0.16
18,14,0.432,0.06
5,7,0.443,0.42
5,8,0.443,0.28
5,14,0.443,0.32
12,7,0.443,0.16
12,8,0.443,0.2
12,14,0.443,0.12
18,7,0.443,0.2
18,8,0.443,0.14
18,14,0.443,0.08
5,7,0.454,0.4
5,8,0.454,0.34
5,14,0.454,0.34
12,7,0.454,0.18
12,8,0.454,0.08
12,14,0.454,0.18
18,7,0.454,0.12
18,8,0.454,0.2
18,14,0.454,0.06
5,7,0.465,0.36
5,8,0.465,0.42
5,14,0.465,0.24
12,7,0.465,0.3
12,8,0.465,0.22
12,14,0.465,0.04
18,7,0.465,0.22
18,8,0.465,0.14
18,14,0.465,0.02
5,7,0.476,0.5
5,8,0.476,0.38
5,14,0.476,0.28
12,7,0.476,0.16
12,8,0.476,0.2
12,14,0.476,0.12
18,7,0.476,0.18
18,8,0.476,0.12
18,14,0.476,0.04
5,7,0.487,0.34
5,8,0.487,0.48
5,14,0.487,0.24
12,7,0.487,0.14
12,8,0.487,0.18
12,14,0.487,0.1
18,7,0.487,0.16
18,8,0.487,0.18
18,14,0.487,0.02
5,7,0.498,0.34
5,8,0.498,0.4
5,14,0.498,0.34
12,7,0.498,0.16
12,8,0.498,0.16
12,14,0.498,0.14
18,7,0.498,0.14
18,8,0.498,0.12
18,14,0.498,0.02
